,BlockHeight,uluna_burnt,uusd_minted,spread,delta,lunaPool,terra_pool,usd_per_luna_price,usd_per_ust_price
0,7594342.0,82798.0,104037.58326959333,0.05,2308603.936698487,47793284.69605855,52308603.93669849,1.2077515498714506,0.752964752551555
1,7594343.0,82798.0,94999.44218494355,0.05,2398103.276043857,47711650.68379464,52398103.276043855,1.2077515498714506,0.7488666957533746
2,7594344.0,82798.0,94999.44218494355,0.05,2338782.513969821,47765727.05589247,52338782.51396982,1.2077515498714506,0.7571100768869521
3,7594345.0,82798.0,94999.44218494355,0.05,2522094.9920021943,47599015.24074178,52522094.9920022,1.2077515498714506,0.7569849629619021
4,7594346.0,82929.0,95149.74686532505,0.05,2609408.9750334728,47520016.83171179,52609408.97503347,1.2058394882034635,0.7555577942458667
5,7594347.0,82718.0,94757.39924595339,0.05,2595428.976576545,47532647.77274426,52595428.976576544,1.2089173902118906,0.7570877071621067
6,7594348.0,82718.0,94999.26724936982,0.05,2536362.9130462254,47586088.213563435,52536362.913046226,1.2089173902118906,0.7601241508072548
7,7594349.0,82718.0,94999.26724936982,0.05,2465908.38768383,47649989.80913223,52465908.38768383,1.2089173902118906,0.7602271957781401
8,7594350.0,82718.0,94999.26724936982,0.05,2475701.208676345,47641097.54452694,52475701.208676346,1.2089173902118906,0.7761640826649463
9,7594351.0,83816.0,96260.28897909982,0.05,2518700.330405143,47602091.90768286,52518700.330405146,1.1930761184453824,0.7713009862853882
10,7594352.0,83459.0,94594.2927808665,0.05,2626564.783778445,47504525.71380067,52626564.783778444,1.1981840503118275,0.7743645039131734
11,7594353.0,83459.0,94999.28052222608,0.05,2559897.9814439663,47564780.298519865,52559897.981443964,1.1981840503118275,0.7751248211080045
12,7594354.0,83459.0,94999.28052222608,0.05,2853915.102844269,47300185.712552175,52853915.10284427,1.1981840503118275,0.7751248211080045
13,7594355.0,83459.0,94999.28052222608,0.05,2980552.080281567,47187126.253643855,52980552.08028157,1.1981840503118275,0.7725553717222178
14,7594356.0,83296.0,94813.74172203528,0.05,2912682.607068207,47247651.731534846,52912682.60706821,1.200527370304041,0.7739712489888034
15,7594357.0,83885.0,95670.92653505677,0.05,3003852.0819212366,47166383.23071447,53003852.081921235,1.1921080842031024,0.774683451395222
16,7594358.0,83885.0,94999.98731120839,0.05,2922112.845433263,47239232.630443424,52922112.845433265,1.1921080842031024,0.7819781784323746
17,7594359.0,83885.0,94999.98731120839,0.05,3031211.6207912443,47142049.43829453,53031211.62079124,1.1921080842031024,0.777865044066466
18,7594360.0,83885.0,94999.98731120839,0.05,2947011.2979914877,47217018.27379322,52947011.297991484,1.1921080842031024,0.7779434301084546
19,7594361.0,84569.0,95774.61914432356,0.05,2955758.2381889685,47209219.22702503,52955758.23818897,1.182456795247427,0.7776349781270294
20,7594362.0,85046.0,95535.05957818204,0.05,3113804.874699799,47068742.40882804,53113804.8746998,1.1758281210128996,0.7613396217161703
21,7594363.0,85046.0,94999.5044606799,0.05,3027310.2948470265,47145517.77375251,53027310.29484703,1.1758281210128996,0.7710858846879821
22,7594364.0,85046.0,94999.5044606799,0.05,3172182.146811931,47017066.049637266,53172182.14681193,1.1758281210128996,0.7688919730878659
23,7594365.0,85046.0,94999.5044606799,0.05,3133169.7408300005,47051587.77830044,53133169.740830004,1.1758281210128996,0.7687343787409647
24,7594366.0,85194.0,95164.82589449431,0.05,3426373.3291845135,46793368.97146934,53426373.32918452,1.1737863848658354,0.763723408239332
25,7594367.0,85352.0,95175.76474501535,0.05,3365350.64344766,46846876.669158675,53365350.64344766,1.1716151883739994,0.7634505196174001
26,7594368.0,85352.0,94999.71458019271,0.05,3509980.437745241,46720256.287676245,53509980.43774524,1.1716151883739994,0.773144549182116
27,7594369.0,85352.0,94999.71458019271,0.05,3537479.9822316533,46696258.41241902,53537479.982231654,1.1716151883739994,0.7643244978662531
28,7594370.0,85352.0,94999.71458019271,0.05,3599740.788333796,46642016.60736641,53599740.788333796,1.1716151883739994,0.7723180865135965
29,7594371.0,86752.0,96557.96278073014,0.05,3708493.169950276,46547572.87807772,53708493.16995028,1.1527,0.7598159771452273
30,7594372.0,85056.0,93141.84863999998,0.05,3633227.5769270402,46612894.89643725,53633227.57692704,1.1756874743515615,0.7784161525901798
31,7594373.0,85056.0,94999.31012752409,0.05,3969373.490653218,46322568.49216467,53969373.49065322,1.1756874743515615,0.7803166024086698
32,7594374.0,85056.0,94999.31012752409,0.05,3901006.9901430816,46381322.71735066,53901006.99014308,1.1756874743515615,0.7788035201218962
33,7594375.0,85056.0,94999.31012752409,0.05,4017717.371683623,46281111.48788589,54017717.37168362,1.1756874743515615,0.7756059440456893
34,7594376.0,85426.0,95412.56427475865,0.05,4141160.59137096,46175589.37956071,54141160.59137096,1.170601600688767,0.7579040536810533
35,7594377.0,84551.0,94026.75914284415,0.05,4026128.352721767,46273906.27879507,54026128.352721766,1.1827136105734006,0.7753979254763951
